Ref,Val,Package,PosX,PosY,Rot,Side
"+","Screw_Terminal_01x02","TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal",184.850000,-48.600000,-90.000000,top
"-","Screw_Terminal_01x02","TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal",34.025000,-53.695000,90.000000,top
"CAN","CAN","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",187.730000,-82.680000,90.000000,top
"CAN","CAN","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",31.110000,-82.930000,-90.000000,top
"J1","PWR T1","SAMTEC_ET60S-D02-5-02-D03-S-VP-S",154.720000,-75.400000,90.000000,top
"J2","PWR T2","SAMTEC_ET60S-D02-5-02-D03-S-VP-S",124.650000,-75.400000,90.000000,top
"J3","PWR T3","SAMTEC_ET60S-D02-5-02-D03-S-VP-S",94.570000,-75.400000,90.000000,top
"J4","PWR T4","SAMTEC_ET60S-D02-5-02-D03-S-VP-S",64.460000,-75.380000,90.000000,top
"T1","T1","TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal",159.810000,-123.540000,180.000000,top
"T2","T2","TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal",129.725000,-123.570000,180.000000,top
"T3","T3","TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal",99.675000,-123.590000,180.000000,top
"T4","T4","TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal",69.510000,-123.610000,180.000000,top
